issued_at_utc,window,horizon,target_ts_utc,station_id,event,p_model,p_clim,p_pers,model_version
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,85,bike,0.9926,0.9488,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,86,bike,0.9429,0.8715,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,87,bike,0.9539,0.9829,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,88,bike,0.9485,0.9378,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,89,bike,0.9623,0.9789,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,9,bike,0.9724,0.9729,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,90,bike,0.9716,0.997,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,91,bike,0.9233,0.9548,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,92,bike,0.9743,0.9388,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,93,bike,0.8687,0.7289,0.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,94,bike,0.962,0.9347,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,95,bike,0.9408,0.9257,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,96,bike,0.8623,0.9006,0.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,97,bike,0.9946,0.9508,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,98,bike,0.9985,0.997,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,99,bike,0.9829,0.9849,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,1,dock,0.9925,0.9709,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,10,dock,0.985,0.9568,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,100,dock,0.9547,0.997,0.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,101,dock,1.0,0.999,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,102,dock,1.0,0.999,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,103,dock,1.0,0.999,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,104,dock,0.9999,0.999,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,105,dock,0.9999,0.999,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,106,dock,0.9999,0.999,1.0,v1
